Price,Mileage,Make,Cylinder,Liter,Doors,Cruise,Sound,Leather
17314.10313,8221,Buick,6,3.1,4,1,1,1
17542.03608,9135,Buick,6,3.1,4,1,1,0
16218.84786,13196,Buick,6,3.1,4,1,1,0
16336.91314,16342,Buick,6,3.1,4,1,0,0
16339.17032,19832,Buick,6,3.1,4,1,0,1
15709.05282,22236,Buick,6,3.1,4,1,1,0
15230.00339,22576,Buick,6,3.1,4,1,1,0
15048.04218,22964,Buick,6,3.1,4,1,1,0
14862.09387,24021,Buick,6,3.1,4,1,0,1
15295.01827,27325,Buick,6,3.1,4,1,1,1
21335.85248,10237,Buick,6,3.6,4,1,0,0
20538.08751,15066,Buick,6,3.6,4,1,1,0
20512.09409,16633,Buick,6,3.6,4,1,1,0
19924.15905,19800,Buick,6,3.6,4,1,1,1
19774.24907,23359,Buick,6,3.6,4,1,1,1
19344.16554,23765,Buick,6,3.6,4,1,1,0
19105.13012,24008,Buick,6,3.6,4,1,0,0
18543.42705,26034,Buick,6,3.6,4,1,1,1
17808.199,32896,Buick,6,3.6,4,1,1,0
17968.83828,34665,Buick,6,3.6,4,1,1,1
22358.87768,8970,Buick,6,3.6,4,1,1,0
23785.92253,10577,Buick,6,3.6,4,1,1,1
22926.09037,14363,Buick,6,3.6,4,1,1,1
21895.75878,16508,Buick,6,3.6,4,1,0,1
21273.06171,18908,Buick,6,3.6,4,1,0,0
21460.01395,19467,Buick,6,3.6,4,1,0,1
21183.12359,21394,Buick,6,3.6,4,1,0,0
20406.0995,22596,Buick,6,3.6,4,1,0,0
21058.13958,24469,Buick,6,3.6,4,1,1,1
19556.89932,25245,Buick,6,3.6,4,1,0,0
23447.68656,15755,Buick,6,3.8,4,1,1,0
23547.23944,16235,Buick,6,3.8,4,1,1,0
23016.00801,18147,Buick,6,3.8,4,1,1,1
22230.0275,22102,Buick,6,3.8,4,1,0,1
22625.07357,23612,Buick,6,3.8,4,1,0,1
21799.1721,24439,Buick,6,3.8,4,1,0,0
21341.25721,25212,Buick,6,3.8,4,1,1,1
21683.03146,26779,Buick,6,3.8,4,1,1,0
20986.01602,27096,Buick,6,3.8,4,1,0,0
20902.10379,29649,Buick,6,3.8,4,1,1,1
20698.07708,2992,Buick,6,3.8,4,1,0,1
20099.25684,10036,Buick,6,3.8,4,1,1,1
18145.12649,18339,Buick,6,3.8,4,1,1,0
17944.85692,19592,Buick,6,3.8,4,1,0,0
19027.86231,21797,Buick,6,3.8,4,1,0,1
18348.89857,23852,Buick,6,3.8,4,1,1,0
17750.88457,25040,Buick,6,3.8,4,1,1,0
17772.96968,25052,Buick,6,3.8,4,1,1,0
17394.0214,25464,Buick,6,3.8,4,1,1,0
17645.74504,27830,Buick,6,3.8,4,1,1,1
21908.36662,17353,Buick,6,3.8,4,1,0,0
21956.34266,17787,Buick,6,3.8,4,1,1,0
21646.11692,19562,Buick,6,3.8,4,1,1,1
21575.45683,20137,Buick,6,3.8,4,1,1,0
20952.2178,20158,Buick,6,3.8,4,1,1,0
21562.04758,23767,Buick,6,3.8,4,1,0,1
19981.12791,24323,Buick,6,3.8,4,1,1,0
19425.84862,27839,Buick,6,3.8,4,1,1,0
19191.98962,29187,Buick,6,3.8,4,1,1,1
19641.7419,31324,Buick,6,3.8,4,1,1,1
25589.98315,2308,Buick,6,3.8,4,1,1,0
