Price,Mileage,Make,Cylinder,Liter,Doors,Cruise,Sound,Leather,Litersq
21335.85248,10237,Buick,6,3.6,4,1,0,0,12.96
20538.08751,15066,Buick,6,3.6,4,1,1,0,12.96
20512.09409,16633,Buick,6,3.6,4,1,1,0,12.96
19924.15905,19800,Buick,6,3.6,4,1,1,1,12.96
19774.24907,23359,Buick,6,3.6,4,1,1,1,12.96
19344.16554,23765,Buick,6,3.6,4,1,1,0,12.96
19105.13012,24008,Buick,6,3.6,4,1,0,0,12.96
17808.199,32896,Buick,6,3.6,4,1,1,0,12.96
17968.83828,34665,Buick,6,3.6,4,1,1,1,12.96
22358.87768,8970,Buick,6,3.6,4,1,1,0,12.96
23785.92253,10577,Buick,6,3.6,4,1,1,1,12.96
22926.09037,14363,Buick,6,3.6,4,1,1,1,12.96
21895.75878,16508,Buick,6,3.6,4,1,0,1,12.96
21273.06171,18908,Buick,6,3.6,4,1,0,0,12.96
21460.01395,19467,Buick,6,3.6,4,1,0,1,12.96
21183.12359,21394,Buick,6,3.6,4,1,0,0,12.96
20406.0995,22596,Buick,6,3.6,4,1,0,0,12.96
21058.13958,24469,Buick,6,3.6,4,1,1,1,12.96
19556.89932,25245,Buick,6,3.6,4,1,0,0,12.96
23447.68656,15755,Buick,6,3.8,4,1,1,0,14.44
23547.23944,16235,Buick,6,3.8,4,1,1,0,14.44
23016.00801,18147,Buick,6,3.8,4,1,1,1,14.44
22230.0275,22102,Buick,6,3.8,4,1,0,1,14.44
22625.07357,23612,Buick,6,3.8,4,1,0,1,14.44
21799.1721,24439,Buick,6,3.8,4,1,0,0,14.44
21341.25721,25212,Buick,6,3.8,4,1,1,1,14.44
21683.03146,26779,Buick,6,3.8,4,1,1,0,14.44
20986.01602,27096,Buick,6,3.8,4,1,0,0,14.44
20902.10379,29649,Buick,6,3.8,4,1,1,1,14.44
21908.36662,17353,Buick,6,3.8,4,1,0,0,14.44
21956.34266,17787,Buick,6,3.8,4,1,1,0,14.44
21646.11692,19562,Buick,6,3.8,4,1,1,1,14.44
21575.45683,20137,Buick,6,3.8,4,1,1,0,14.44
20952.2178,20158,Buick,6,3.8,4,1,1,0,14.44
21562.04758,23767,Buick,6,3.8,4,1,0,1,14.44
19981.12791,24323,Buick,6,3.8,4,1,1,0,14.44
19425.84862,27839,Buick,6,3.8,4,1,1,0,14.44
19191.98962,29187,Buick,6,3.8,4,1,1,1,14.44
19641.7419,31324,Buick,6,3.8,4,1,1,1,14.44
25589.98315,2308,Buick,6,3.8,4,1,1,0,14.44
23420.70695,18910,Buick,6,3.8,4,1,0,1,14.44
22661.04849,20105,Buick,6,3.8,4,1,0,0,14.44
22435.20282,22287,Buick,6,3.8,4,1,1,1,14.44
21878.12,23237,Buick,6,3.8,4,1,1,0,14.44
21698.01475,25489,Buick,6,3.8,4,1,1,1,14.44
21831.82292,25564,Buick,6,3.8,4,1,1,1,14.44
44130.61706,21341,Cadillac,8,5.7,4,1,0,1,32.49
44084.91421,21367,Cadillac,8,5.7,4,1,1,1,32.49
43892.46788,23371,Cadillac,8,5.7,4,1,0,1,32.49
42677.60112,24052,Cadillac,8,5.7,4,1,0,1,32.49
43374.05242,25199,Cadillac,8,5.7,4,1,1,1,32.49
40619.07227,30082,Cadillac,8,5.7,4,1,1,1,32.49
33417.96501,6598,Cadillac,6,2.8,4,1,1,1,7.84
30957.08075,10625,Cadillac,6,2.8,4,1,1,1,7.84
31431.13037,11013,Cadillac,6,2.8,4,1,1,1,7.84
30781.51563,14937,Cadillac,6,2.8,4,1,1,1,7.84
30646.4377,17094,Cadillac,6,2.8,4,1,1,1,7.84
30792.14903,17870,Cadillac,6,2.8,4,1,1,1,7.84
30392.75016,18449,Cadillac,6,2.8,4,1,1,1,7.84
29275.20871,21056,Cadillac,6,2.8,4,1,1,1,7.84
39801.55135,14095,Cadillac,8,4.6,4,1,0,1,21.16
39307.00916,16041,Cadillac,8,4.6,4,1,0,1,21.16
38600.23956,17138,Cadillac,8,4.6,4,1,0,1,21.16
38445.89717,18661,Cadillac,8,4.6,4,1,0,1,21.16
36077.79612,21966,Cadillac,8,4.6,4,1,0,1,21.16
35866.58271,24415,Cadillac,8,4.6,4,1,1,1,21.16
36154.30355,25339,Cadillac,8,4.6,4,1,1,1,21.16
37510.25357,21593,Cadillac,8,4.6,4,1,0,1,21.16
37215.16938,22211,Cadillac,8,4.6,4,1,0,1,21.16
36332.89469,25153,Cadillac,8,4.6,4,1,0,1,21.16
36245.15823,26250,Cadillac,8,4.6,4,1,1,1,21.16
32038.33956,35326,Cadillac,6,3.6,4,1,1,1,12.96
12146.18803,10011,Chevrolet,4,1.6,4,0,0,1,2.56
12163.82042,12101,Chevrolet,4,1.6,4,0,0,1,2.56
11472.02276,19699,Chevrolet,4,1.6,4,0,0,1,2.56
11017.16871,20100,Chevrolet,4,1.6,4,0,1,0,2.56
11096.85727,20334,Chevrolet,4,1.6,4,1,0,0,2.56
10386.04022,22225,Chevrolet,4,1.6,4,0,0,0,2.56
11137.04565,22484,Chevrolet,4,1.6,4,0,1,1,2.56
11045.10884,24568,Chevrolet,4,1.6,4,1,0,1,2.56
10777.05254,27906,Chevrolet,4,1.6,4,0,0,0,2.56
9928.188175,29680,Chevrolet,4,1.6,4,0,0,1,2.56
12649.11089,3629,Chevrolet,4,1.6,4,0,1,0,2.56
12314.59122,4142,Chevrolet,4,1.6,4,0,1,0,2.56
11318.00809,11156,Chevrolet,4,1.6,4,0,1,1,2.56
12409.94909,11981,Chevrolet,4,1.6,4,1,1,1,2.56
11555.2674,13404,Chevrolet,4,1.6,4,1,1,0,2.56
11700.11149,15253,Chevrolet,4,1.6,4,1,0,0,2.56
11215.01865,19945,Chevrolet,4,1.6,4,0,0,0,2.56
10144.95208,23963,Chevrolet,4,1.6,4,1,1,0,2.56
10491.0752,30948,Chevrolet,4,1.6,4,0,1,0,2.56
9954.054174,37345,Chevrolet,4,1.6,4,0,1,1,2.56
11031.12993,20156,Chevrolet,4,1.6,4,0,1,1,2.56
11343.05401,20186,Chevrolet,4,1.6,4,1,1,1,2.56
11391.21372,21421,Chevrolet,4,1.6,4,0,1,1,2.56
11247.86253,21427,Chevrolet,4,1.6,4,1,1,1,2.56
10921.94537,23119,Chevrolet,4,1.6,4,0,1,1,2.56
11179.95357,23121,Chevrolet,4,1.6,4,0,1,1,2.56
11394.8864,25107,Chevrolet,4,1.6,4,0,1,1,2.56
11070.06064,25476,Chevrolet,4,1.6,4,0,1,1,2.56
11013.87137,25746,Chevrolet,4,1.6,4,1,1,1,2.56
11115.01364,30056,Chevrolet,4,1.6,4,1,1,1,2.56
11918.45607,7278,Chevrolet,4,1.6,4,0,0,0,2.56
12408.80615,10213,Chevrolet,4,1.6,4,0,0,1,2.56
11302.90299,14627,Chevrolet,4,1.6,4,0,1,0,2.56
11615.02102,19014,Chevrolet,4,1.6,4,0,1,1,2.56
10805.13009,21013,Chevrolet,4,1.6,4,1,1,1,2.56
11169.91839,22380,Chevrolet,4,1.6,4,0,1,0,2.56
10770.10655,25065,Chevrolet,4,1.6,4,0,1,0,2.56
10872.01393,25869,Chevrolet,4,1.6,4,0,0,0,2.56
10921.94537,27776,Chevrolet,4,1.6,4,1,0,0,2.56
9919.048185,34621,Chevrolet,4,1.6,4,0,1,0,2.56
9789.037676,22986,Chevrolet,4,1.6,4,0,1,1,2.56
9220.829677,29992,Chevrolet,4,1.6,4,1,0,1,2.56
9482.219404,24842,Chevrolet,4,1.6,4,1,0,0,2.56
9041.906254,26191,Chevrolet,4,1.6,4,0,0,1,2.56
8870.947316,32914,Chevrolet,4,1.6,4,1,1,0,2.56
8768.998585,35299,Chevrolet,4,1.6,4,0,0,0,2.56
13041.874,13607,Chevrolet,4,2.2,2,0,1,1,4.84
12045.9207,19136,Chevrolet,4,2.2,2,0,1,1,4.84
12469.52758,19712,Chevrolet,4,2.2,2,0,1,1,4.84
11539.84565,22405,Chevrolet,4,2.2,2,0,1,1,4.84
11726.00297,23103,Chevrolet,4,2.2,2,0,1,1,4.84
12207.87293,23512,Chevrolet,4,2.2,2,1,1,1,4.84
11203.14611,27364,Chevrolet,4,2.2,2,1,1,1,4.84
10788.97036,31436,Chevrolet,4,2.2,2,1,1,1,4.84
11149.6183,34447,Chevrolet,4,2.2,2,1,1,1,4.84
14584.44812,1160,Chevrolet,4,2.2,2,1,1,1,4.84
13681.698,10210,Chevrolet,4,2.2,2,1,1,1,4.84
13446.21342,17741,Chevrolet,4,2.2,2,0,1,1,4.84
12327.64161,19347,Chevrolet,4,2.2,2,0,1,1,4.84
12274.95758,19612,Chevrolet,4,2.2,2,1,1,1,4.84
12630.77503,22571,Chevrolet,4,2.2,2,1,1,1,4.84
12425.38917,22771,Chevrolet,4,2.2,2,0,1,1,4.84
12319.69625,24568,Chevrolet,4,2.2,2,1,1,1,4.84
12549.89233,25816,Chevrolet,4,2.2,2,0,1,1,4.84
12234.88805,30297,Chevrolet,4,2.2,2,1,1,1,4.84
14894.98259,2464,Chevrolet,4,2.2,4,0,1,1,4.84
14198.09246,11322,Chevrolet,4,2.2,4,1,1,1,4.84
14678.10533,11488,Chevrolet,4,2.2,4,1,1,1,4.84
13167.70232,14630,Chevrolet,4,2.2,4,0,1,1,4.84
13471.00508,18910,Chevrolet,4,2.2,4,1,1,1,4.84
12573.89994,25048,Chevrolet,4,2.2,4,1,1,1,4.84
12383.40281,25069,Chevrolet,4,2.2,4,1,1,1,4.84
13230.91867,25862,Chevrolet,4,2.2,4,0,1,1,4.84
11080.51638,36855,Chevrolet,4,2.2,4,0,1,1,4.84
11328.95887,39946,Chevrolet,4,2.2,4,1,1,1,4.84
15053.93373,4652,Chevrolet,4,2.2,2,1,1,1,4.84
14397.92808,5189,Chevrolet,4,2.2,2,0,1,1,4.84
14642.32358,6224,Chevrolet,4,2.2,2,0,1,1,4.84
13464.80288,14231,Chevrolet,4,2.2,2,1,1,1,4.84
13678.863,17971,Chevrolet,4,2.2,2,1,1,1,4.84
12507.48527,19715,Chevrolet,4,2.2,2,1,1,1,4.84
13141.04795,19898,Chevrolet,4,2.2,2,1,1,1,4.84
13594.08559,20682,Chevrolet,4,2.2,2,1,1,1,4.84
12733.85792,21386,Chevrolet,4,2.2,2,1,1,1,4.84
12230.09977,28408,Chevrolet,4,2.2,2,0,1,1,4.84
14222.3054,8427,Chevrolet,4,2.2,4,0,1,1,4.84
14266.91258,8615,Chevrolet,4,2.2,4,0,1,1,4.84
14255.74768,16958,Chevrolet,4,2.2,4,0,1,1,4.84
13762.90145,18040,Chevrolet,4,2.2,4,1,1,1,4.84
14275.12764,18533,Chevrolet,4,2.2,4,1,1,1,4.84
13688.00011,18766,Chevrolet,4,2.2,4,1,1,1,4.84
13308.83375,20043,Chevrolet,4,2.2,4,0,1,1,4.84
14145.88099,20512,Chevrolet,4,2.2,4,1,1,1,4.84
12944.93875,21684,Chevrolet,4,2.2,4,0,1,1,4.84
12846.06159,27560,Chevrolet,4,2.2,4,1,1,1,4.84
14061.12277,4922,Chevrolet,4,2.2,4,0,1,1,4.84
13072.84163,14311,Chevrolet,4,2.2,4,0,1,1,4.84
11699.03392,19816,Chevrolet,4,2.2,4,1,1,1,4.84
12257.16409,21492,Chevrolet,4,2.2,4,1,1,1,4.84
11574.17381,21525,Chevrolet,4,2.2,4,0,1,1,4.84
11539.04853,24163,Chevrolet,4,2.2,4,0,1,1,4.84
12243.06062,25014,Chevrolet,4,2.2,4,1,1,1,4.84
11671.85813,25727,Chevrolet,4,2.2,4,1,1,1,4.84
11464.62886,29410,Chevrolet,4,2.2,4,1,1,1,4.84
10546.78275,38866,Chevrolet,4,2.2,4,1,1,1,4.84
15553.20871,7695,Chevrolet,4,2.2,4,0,1,1,4.84
15047.00274,12305,Chevrolet,4,2.2,4,1,1,1,4.84
13540.04164,17343,Chevrolet,4,2.2,4,0,1,1,4.84
14077.96885,17445,Chevrolet,4,2.2,4,0,1,1,4.84
12981.95203,20309,Chevrolet,4,2.2,4,1,1,1,4.84
13436.00015,20530,Chevrolet,4,2.2,4,0,1,1,4.84
13161.94283,21145,Chevrolet,4,2.2,4,1,1,1,4.84
12379.12647,31199,Chevrolet,4,2.2,4,1,1,1,4.84
11581.90504,36566,Chevrolet,4,2.2,4,0,1,1,4.84
14023.93855,13776,Chevrolet,4,2.2,2,0,1,1,4.84
12810.91058,19461,Chevrolet,4,2.2,2,1,1,1,4.84
13135.90503,21796,Chevrolet,4,2.2,2,1,1,1,4.84
13106.90042,21910,Chevrolet,4,2.2,2,0,1,1,4.84
12845.17425,22382,Chevrolet,4,2.2,2,1,1,1,4.84
12570.13668,22479,Chevrolet,4,2.2,2,0,1,1,4.84
12897.92954,23200,Chevrolet,4,2.2,2,1,1,1,4.84
11961.61996,27394,Chevrolet,4,2.2,2,1,1,1,4.84
12706.91135,27521,Chevrolet,4,2.2,2,1,1,1,4.84
12487.05429,28492,Chevrolet,4,2.2,2,0,1,1,4.84
15635.79616,1169,Chevrolet,4,2.2,2,0,1,1,4.84
15747.80397,6048,Chevrolet,4,2.2,2,0,1,1,4.84
14619.07856,15768,Chevrolet,4,2.2,2,1,1,1,4.84
14185.02155,20374,Chevrolet,4,2.2,2,0,1,1,4.84
13699.03578,25845,Chevrolet,4,2.2,2,1,1,1,4.84
13310.05959,26143,Chevrolet,4,2.2,2,1,1,1,4.84
13530.06864,27249,Chevrolet,4,2.2,2,1,1,1,4.84
13019.07114,27942,Chevrolet,4,2.2,2,1,1,1,4.84
12684.98623,29891,Chevrolet,4,2.2,2,1,1,1,4.84
12553.07143,32844,Chevrolet,4,2.2,2,1,1,1,4.84
14997.88434,8880,Chevrolet,4,2.2,4,0,1,1,4.84
14847.04415,12980,Chevrolet,4,2.2,4,0,1,1,4.84
15128.99224,13828,Chevrolet,4,2.2,4,1,1,1,4.84
15000.99271,14504,Chevrolet,4,2.2,4,0,1,1,4.84
14593.8541,18790,Chevrolet,4,2.2,4,0,1,1,4.84
14304.74104,21128,Chevrolet,4,2.2,4,0,1,1,4.84
13688.94568,21611,Chevrolet,4,2.2,4,1,1,1,4.84
13744.84985,23748,Chevrolet,4,2.2,4,0,1,1,4.84
16116.84392,865,Chevrolet,4,2.2,4,1,1,1,4.84
15084.8154,14824,Chevrolet,4,2.2,4,1,1,1,4.84
14508.75009,18910,Chevrolet,4,2.2,4,0,1,1,4.84
14418.16529,19818,Chevrolet,4,2.2,4,0,1,1,4.84
14191.88228,21181,Chevrolet,4,2.2,4,1,1,1,4.84
14175.87908,21627,Chevrolet,4,2.2,4,0,1,1,4.84
14429.78964,6114,Chevrolet,4,2.2,4,1,1,1,4.84
14696.02899,6709,Chevrolet,4,2.2,4,1,1,1,4.84
14582.76912,7115,Chevrolet,4,2.2,4,1,1,1,4.84
14194.8236,9561,Chevrolet,4,2.2,4,0,1,1,4.84
14072.13523,15233,Chevrolet,4,2.2,4,0,1,1,4.84
13994.90646,17270,Chevrolet,4,2.2,4,0,1,1,4.84
13830.24902,17594,Chevrolet,4,2.2,4,0,1,1,4.84
13159.82154,22740,Chevrolet,4,2.2,4,1,1,1,4.84
12495.97075,26204,Chevrolet,4,2.2,4,0,1,1,4.84
12678.85397,28683,Chevrolet,4,2.2,4,0,1,1,4.84
21757.04951,1853,Chevrolet,6,3.8,4,1,0,0,14.44
19528.10043,14115,Chevrolet,6,3.8,4,1,1,0,14.44
19075.67875,18198,Chevrolet,6,3.8,4,1,0,1,14.44
19409.75261,18795,Chevrolet,6,3.8,4,1,1,1,14.44
18527.20897,19874,Chevrolet,6,3.8,4,1,1,0,14.44
18912.9816,21512,Chevrolet,6,3.8,4,1,1,0,14.44
17839.80077,25453,Chevrolet,6,3.8,4,1,0,1,14.44
17789.34673,26980,Chevrolet,6,3.8,4,1,1,0,14.44
17294.181,29368,Chevrolet,6,3.8,4,1,1,0,14.44
18083.3963,29420,Chevrolet,6,3.8,4,1,1,1,14.44
20021.19521,1787,Chevrolet,6,3.8,4,1,0,0,14.44
18835.18976,8211,Chevrolet,6,3.8,4,1,0,1,14.44
18727.50838,14054,Chevrolet,6,3.8,4,1,1,1,14.44
16805.05739,19498,Chevrolet,6,3.8,4,1,0,0,14.44
17154.57646,21567,Chevrolet,6,3.8,4,1,0,1,14.44
16644.08787,22383,Chevrolet,6,3.8,4,1,1,1,14.44
15951.81117,26070,Chevrolet,6,3.8,4,1,1,1,14.44
16508.59069,27460,Chevrolet,6,3.8,4,1,1,1,14.44
15832.51835,31202,Chevrolet,6,3.8,4,1,1,1,14.44
15554.28313,33357,Chevrolet,6,3.8,4,1,1,1,14.44
18957.89004,5936,Chevrolet,6,3.5,4,0,1,1,12.25
18950.90698,8687,Chevrolet,6,3.5,4,0,1,1,12.25
17891.63378,17020,Chevrolet,6,3.5,4,0,1,1,12.25
17801.22953,19386,Chevrolet,6,3.5,4,1,1,1,12.25
16723.99388,19740,Chevrolet,6,3.5,4,1,1,1,12.25
16744.03025,21829,Chevrolet,6,3.5,4,0,1,1,12.25
16825.19088,23460,Chevrolet,6,3.5,4,0,1,1,12.25
16543.98014,24583,Chevrolet,6,3.5,4,0,1,1,12.25
16143.95729,26532,Chevrolet,6,3.5,4,1,1,1,12.25
